date,PRECTOTCORR,T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN,city,latitude,longitude
2024-01-01,0.06,23.15,69.16,2.99,16.71,Sao_Paulo,-23.5505,-46.6333
2024-01-02,0.37,23.99,69.6,2.16,20.61,Sao_Paulo,-23.5505,-46.6333
2024-01-03,4.72,24.2,75.18,2.47,16.73,Sao_Paulo,-23.5505,-46.6333
2024-01-04,4.64,23.63,77.13,3.15,16.95,Sao_Paulo,-23.5505,-46.6333
2024-01-05,2.36,23.16,75.31,2.68,21.71,Sao_Paulo,-23.5505,-46.6333
2024-01-06,1.11,23.87,71.37,2.7,24.46,Sao_Paulo,-23.5505,-46.6333
2024-01-07,0.29,25.69,64.23,1.92,25.13,Sao_Paulo,-23.5505,-46.6333
2024-01-08,7.21,27.38,62.12,1.69,23.52,Sao_Paulo,-23.5505,-46.6333
2024-01-09,4.04,27.25,63.55,1.54,26.99,Sao_Paulo,-23.5505,-46.6333
2024-01-10,6.79,26.73,68.86,1.23,25.09,Sao_Paulo,-23.5505,-46.6333
2024-01-11,5.36,25.99,71.8,3.35,23.5,Sao_Paulo,-23.5505,-46.6333
2024-01-12,26.07,23.82,82.43,2.74,13.76,Sao_Paulo,-23.5505,-46.6333
2024-01-13,7.15,21.62,85.78,3.52,10.75,Sao_Paulo,-23.5505,-46.6333
2024-01-14,0.61,24.02,78.82,1.29,24.76,Sao_Paulo,-23.5505,-46.6333
2024-01-15,0.22,26.18,72.34,1.96,24.12,Sao_Paulo,-23.5505,-46.6333
2024-01-16,0.07,27.17,65.66,2.52,25.15,Sao_Paulo,-23.5505,-46.6333
2024-01-17,5.77,27.32,65.12,2.73,21.39,Sao_Paulo,-23.5505,-46.6333
2024-01-18,14.82,26.48,75.03,1.55,22.93,Sao_Paulo,-23.5505,-46.6333
2024-01-19,12.21,25.0,81.06,2.56,20.09,Sao_Paulo,-23.5505,-46.6333
2024-01-20,13.1,23.73,88.18,3.2,12.73,Sao_Paulo,-23.5505,-46.6333
2024-01-21,16.85,23.0,85.11,3.67,15.76,Sao_Paulo,-23.5505,-46.6333
2024-01-22,3.3,21.64,83.43,3.62,18.81,Sao_Paulo,-23.5505,-46.6333
2024-01-23,16.53,19.48,89.58,3.78,5.44,Sao_Paulo,-23.5505,-46.6333
2024-01-24,2.23,20.03,82.08,3.32,17.84,Sao_Paulo,-23.5505,-46.6333
2024-01-25,5.49,18.94,85.49,3.48,14.18,Sao_Paulo,-23.5505,-46.6333
2024-01-26,1.59,19.41,82.18,3.61,15.77,Sao_Paulo,-23.5505,-46.6333
2024-01-27,2.97,21.56,78.46,2.02,19.43,Sao_Paulo,-23.5505,-46.6333
2024-01-28,5.71,22.75,75.79,1.62,12.97,Sao_Paulo,-23.5505,-46.6333
2024-01-29,0.63,23.53,72.16,1.85,22.47,Sao_Paulo,-23.5505,-46.6333
